 
00:00:00     device    %busy    avque    r+w/s    Kbs/s   avwait   avserv
00:10:00             hdisk56     25      0.0       58     1171     30.6     94.1
00:10:00             hdisk61     12      0.0        5      103      0.0     80.3
00:10:00             hdisk65     13      0.0        5      108      0.0     77.7
00:10:00             hdisk66     13      0.0        5      109      0.0     83.8
00:10:00             hdisk55     25      0.0       60     1204     31.0     93.2
00:10:00             hdisk60     12      0.0        5      108      0.0     77.6
00:10:00             hdisk53      0      0.0        0        0      0.0      0.3
00:10:00             hdisk59     12      0.0        5      105      0.0     74.2
00:10:00             hdisk62     12      0.0        5      106      0.0     76.9
00:10:00             hdisk63     12      0.0        5      109      0.0     80.5
00:10:00             hdisk64     13      0.0        5      102      0.0     79.6
00:10:00             hdisk57     25      0.0       57     1156     30.9     95.1
00:10:00             hdisk58     25      0.0       58     1174     31.0     95.4
00:10:00             hdisk74     12      0.0        5      107      0.0     85.5
00:10:00             hdisk70     13      0.0        5      109      0.0     80.1
00:10:00             hdisk68     12      0.0        5      105      0.0     70.7
00:10:00             hdisk69     13      0.0        5      105      0.0     75.4
00:10:00             hdisk67     13      0.0        5      109      0.0     83.5
00:10:00             hdisk71     13      0.0        5      109      0.0     79.9
00:10:00             hdisk75     12      0.0        5      103      0.0     81.7
00:10:00             hdisk72     13      0.0        5      104      0.0     83.8
00:10:00             hdisk73     12      0.0        5       99      0.0     84.6
00:10:00             hdisk76     13      0.0        5      109      0.0     79.2
00:10:00             hdisk82     13      0.0        5      107      0.0     84.9
00:10:00             hdisk80     12      0.0        5      109      0.0     77.6
00:10:00             hdisk78     12      0.0        5      109      0.0     76.9
00:10:00             hdisk77     13      0.0        5      106      0.0     84.5
00:10:00             hdisk79     13      0.0        5      109      0.0     78.3
00:10:00             hdisk85     12      0.0        5      103      0.0     84.1
00:10:00             hdisk86     13      0.0        5      107      0.0     84.5
00:10:00             hdisk83     13      0.0        5      110      0.0     79.4
00:10:00             hdisk90     13      0.0        5      107      0.0     79.5
00:10:00             hdisk91     13      0.0        5      107      0.0     87.5
00:10:00             hdisk81     12      0.0        5      106      0.0     80.5
00:10:00             hdisk95     12      0.0        5      109      0.0     79.1
00:10:00             hdisk88     13      0.0        5      117      0.0     82.2
00:10:00             hdisk87     12      0.0        5      101      0.0     76.1
00:10:00             hdisk89     13      0.0        5      110      1.6     86.6
00:10:00             hdisk84     13      0.0        5      106      0.2     81.9
00:10:00             hdisk94     13      0.0        5      111      0.0     81.6
00:10:00            hdisk100     13      0.0        5      112      0.0     77.1
00:10:00             hdisk93     13      0.0        5      102      0.0     79.5
00:10:00            hdisk105     25      0.0       58     1159     30.4     95.5
00:10:00             hdisk97     13      0.0        5      106      0.0     86.1
00:10:00            hdisk103     25      0.0       58     1182     30.9     95.3
00:10:00            hdisk110     25      0.0       58     1179     30.6     95.0
00:10:00            hdisk101     13      0.0        5      104      0.2     80.7
00:10:00            hdisk102     13      0.0        5      105      0.0     81.4
00:10:00            hdisk106     26      0.0       59     1191     30.8     94.6
00:10:00             hdisk96     13      0.0        5      103      0.0     84.9
00:10:00            hdisk104     25      0.0       58     1181     31.2     95.1
00:10:00            hdisk109     25      0.0       59     1189     30.9     93.6
00:10:00             hdisk98     13      0.0        5      108      0.0     81.1
00:10:00            hdisk107     25      0.0       59     1188     30.5     94.1
00:10:00             hdisk92     13      0.0        5      106      0.0     84.7
00:10:00             hdisk99     13      0.0        5      101      0.0     86.1
00:10:00            hdisk122     36      0.0       20     9668      0.3    188.5
00:10:00            hdisk118      0      0.0        0        0      0.0      0.0
00:10:00            hdisk114      0      0.0        0        0      0.0      0.0
00:10:00            hdisk108     25      0.0       58     1163     30.7     95.4
00:10:00            hdisk112      0      0.0        0        0      0.0      0.0
00:10:00            hdisk111      0      0.0        0        0      0.0      2.5
